"cluster","phylum","class","fam_gen","mean_RA_pct","class_grp"
"1","Actinobacteria","Acidimicrobiia","Ilumatobacteraceae; Ilumatobacter",0.219,"Acidimicrobiia"
"1","Bacteroidetes","Bacteroidia","Crocinitomicaceae; Fluviicola",0.326,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Cryomorphaceae; uncultured",3.27,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Cyclobacteriaceae; Marinoscillum",0.712,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Algibacter",0.096,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Formosa",3.266,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Lutibacter",0.266,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Lutimonas",0.164,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; NS4_marine_group",0.705,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; NS5_marine_group",2.084,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Polaribacter",7.911,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Polaribacter_1",0.691,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Tenacibaculum",2.459,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; Ulvibacter",7.556,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","Flavobacteriaceae; uncultured",4.015,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","NS11-12_marine_group; NS11-12_marine_group_ge",2.942,"Bacteroidia"
"1","Bacteroidetes","Bacteroidia","NS9_marine_group; NS9_marine_group_ge",1.275,"Bacteroidia"
"1","Proteobacteria","Alphaproteobacteria","Clade_I; Clade_Ia",6.791,"Alphaproteobacteria"
"1","Proteobacteria","Alphaproteobacteria","Clade_II; Clade_II_ge",0.758,"Alphaproteobacteria"
"1","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Amylibacter",0.743,"Alphaproteobacteria"
"1","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Ascidiaceihabitans",0.825,"Alphaproteobacteria"
"1","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Loktanella",2.028,"Alphaproteobacteria"
"1","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Octadecabacter",0.052,"Alphaproteobacteria"
"1","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Planktomarina",2.074,"Alphaproteobacteria"
"1","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; Sulfitobacter",5.461,"Alphaproteobacteria"
"1","Proteobacteria","Alphaproteobacteria","Rhodobacteraceae; uncultured",0.057,"Alphaproteobacteria"
"1","Proteobacteria","Alphaproteobacteria","SAR116_clade; SAR116_clade_ge",0.389,"Alphaproteobacteria"
"1","Proteobacteria","Gammaproteobacteria","Alteromonadaceae; Alteromonas",3.445,"Gammaproteobacteria"
"1","Proteobacteria","Gammaproteobacteria","Alteromonadaceae; Paraglaciecola",0.814,"Gammaproteobacteria"
"1","Proteobacteria","Gammaproteobacteria","Colwelliaceae; Colwellia",0.248,"Gammaproteobacteria"
"1","Proteobacteria","Gammaproteobacteria","Halieaceae; Halioglobus",0.029,"Gammaproteobacteria"
"1","Proteobacteria","Gammaproteobacteria","Halieaceae; Luminiphilus",0.132,"Gammaproteobacteria"
"1","Proteobacteria","Gammaproteobacteria","Halieaceae; OM60(NOR5)_clade",0.788,"Gammaproteobacteria"
"1","Proteobacteria","Gammaproteobacteria","Methylophagaceae; uncultured",0.749,"Gammaproteobacteria"
"1","Proteobacteria","Gammaproteobacteria","Methylophilaceae; OM43_clade",0.585,"Gammaproteobacteria"
"1","Proteobacteria","Gammaproteobacteria","Moraxellaceae; Psychrobacter",0.716,"Gammaproteobacteria"
"1","Proteobacteria","Gammaproteobacteria","Nitrincolaceae; uncultured",17.061,"Gammaproteobacteria"
"1","Proteobacteria","Gammaproteobacteria","OM182_clade_fa; OM182_clade_ge",2.184,"Gammaproteobacteria"
"1","Proteobacteria","Gammaproteobacteria","Porticoccaceae; SAR92_clade",3.161,"Gammaproteobacteria"
"1","Proteobacteria","Gammaproteobacteria","Pseudoalteromonadaceae; Pseudoalteromonas",0.285,"Gammaproteobacteria"
"1","Proteobacteria","Gammaproteobacteria","Pseudohongiellaceae; Pseudohongiella",0.557,"Gammaproteobacteria"
"1","Proteobacteria","Gammaproteobacteria","SAR86_clade_fa; SAR86_clade_ge",1.892,"Gammaproteobacteria"
"1","Proteobacteria","Gammaproteobacteria","Spongiibacteraceae; uncultured",0.381,"Gammaproteobacteria"
"1","Proteobacteria","Gammaproteobacteria","Thioglobaceae; SUP05_cluster",2.726,"Gammaproteobacteria"
"1","Proteobacteria","Gammaproteobacteria","Unknown_Family; Candidatus_Carsonella",0.078,"Gammaproteobacteria"
"1","Tenericutes","Mollicutes","Mycoplasmataceae; uncultured",0.054,"Mollicutes"
"1","Verrucomicrobia","Verrucomicrobiae","Puniceicoccaceae; Lentimonas",0.931,"Verrucomicrobiae"
"1","Verrucomicrobia","Verrucomicrobiae","Rubritaleaceae; Persicirhabdus",0.243,"Verrucomicrobiae"
